symbol,timestamp,observed_utc,n_options,call_oi,put_oi,put_call_oi_ratio,oi_weighted_mark_iv,underlying_price,historical_volatility
ETH-HISTVOL,2026-08-21T04:00:00Z,,,,,,,,51.968625425325286
SOL-HISTVOL,2026-08-21T04:00:00Z,,,,,,,,41.483423423022266
BTC-HISTVOL,2026-08-21T05:00:00Z,,,,,,,,34.24621073920226
ETH-HISTVOL,2026-08-21T05:00:00Z,,,,,,,,51.977516300498
SOL-HISTVOL,2026-08-21T05:00:00Z,,,,,,,,41.49005453794769
BTC-HISTVOL,2026-08-21T06:00:00Z,,,,,,,,34.378046629075264
ETH-HISTVOL,2026-08-21T06:00:00Z,,,,,,,,51.99929153088344
SOL-HISTVOL,2026-08-21T06:00:00Z,,,,,,,,41.45717101820015
BTC-HISTVOL,2026-08-21T07:00:00Z,,,,,,,,34.47381769093344
ETH-HISTVOL,2026-08-21T07:00:00Z,,,,,,,,52.05922259460302
SOL-HISTVOL,2026-08-21T07:00:00Z,,,,,,,,41.73681820949498
BTC-HISTVOL,2026-08-21T08:00:00Z,,,,,,,,34.4908884420992
ETH-HISTVOL,2026-08-21T08:00:00Z,,,,,,,,52.06494787373729
SOL-HISTVOL,2026-08-21T08:00:00Z,,,,,,,,41.7347627575196
BTC-HISTVOL,2026-08-21T09:00:00Z,,,,,,,,34.76871012075599
ETH-HISTVOL,2026-08-21T09:00:00Z,,,,,,,,52.05280062425332
SOL-HISTVOL,2026-08-21T09:00:00Z,,,,,,,,41.72975895111874
BTC-HISTVOL,2026-08-21T10:00:00Z,,,,,,,,39.4986521534093
ETH-HISTVOL,2026-08-21T10:00:00Z,,,,,,,,54.11702551656519
SOL-HISTVOL,2026-08-21T10:00:00Z,,,,,,,,44.42597611402115
BTC-HISTVOL,2026-08-21T11:00:00Z,,,,,,,,40.349794503528734
ETH-HISTVOL,2026-08-21T11:00:00Z,,,,,,,,54.66461008457647
SOL-HISTVOL,2026-08-21T11:00:00Z,,,,,,,,44.95030062531151
BTC-HISTVOL,2026-08-21T12:00:00Z,,,,,,,,40.350558010767735
ETH-HISTVOL,2026-08-21T12:00:00Z,,,,,,,,54.67881715914261
SOL-HISTVOL,2026-08-21T12:00:00Z,,,,,,,,44.96344582734203
BTC-HISTVOL,2026-08-21T13:00:00Z,,,,,,,,40.95065576029407
ETH-HISTVOL,2026-08-21T13:00:00Z,,,,,,,,54.90574910415482
SOL-HISTVOL,2026-08-21T13:00:00Z,,,,,,,,45.41192229787431
BTC-HISTVOL,2026-08-21T14:00:00Z,,,,,,,,41.036264627988565
ETH-HISTVOL,2026-08-21T14:00:00Z,,,,,,,,54.98181119973693
SOL-HISTVOL,2026-08-21T14:00:00Z,,,,,,,,45.46438415066336
BTC-HISTVOL,2026-08-21T15:00:00Z,,,,,,,,41.03975059198801
ETH-HISTVOL,2026-08-21T15:00:00Z,,,,,,,,54.93488238781144
SOL-HISTVOL,2026-08-21T15:00:00Z,,,,,,,,45.47807343512524
BTC-HISTVOL,2026-08-21T16:00:00Z,,,,,,,,40.96169041073306
ETH-HISTVOL,2026-08-21T16:00:00Z,,,,,,,,54.91519134424521
SOL-HISTVOL,2026-08-21T16:00:00Z,,,,,,,,45.66115472363411
BTC-HISTVOL,2026-08-21T17:00:00Z,,,,,,,,40.96697684640957
ETH-HISTVOL,2026-08-21T17:00:00Z,,,,,,,,54.9063040708665
SOL-HISTVOL,2026-08-21T17:00:00Z,,,,,,,,45.74794889315357
BTC-HISTVOL,2026-08-21T18:00:00Z,,,,,,,,40.99482279593853
ETH-HISTVOL,2026-08-21T18:00:00Z,,,,,,,,54.95994018319745
SOL-HISTVOL,2026-08-21T18:00:00Z,,,,,,,,45.76377308233714
BTC-HISTVOL,2026-08-21T19:00:00Z,,,,,,,,40.98609956289428
ETH-HISTVOL,2026-08-21T19:00:00Z,,,,,,,,55.07724481537738
SOL-HISTVOL,2026-08-21T19:00:00Z,,,,,,,,45.73903552610698
BTC-HISTVOL,2026-08-21T20:00:00Z,,,,,,,,40.993989015606175
ETH-HISTVOL,2026-08-21T20:00:00Z,,,,,,,,55.0427597290815
SOL-HISTVOL,2026-08-21T20:00:00Z,,,,,,,,45.68621470697267
BTC-HISTVOL,2026-08-21T21:00:00Z,,,,,,,,40.99813261028044
ETH-HISTVOL,2026-08-21T21:00:00Z,,,,,,,,55.0507852891358
SOL-HISTVOL,2026-08-21T21:00:00Z,,,,,,,,45.80123687962218
BTC-HISTVOL,2026-08-21T22:00:00Z,,,,,,,,41.12185256313896
ETH-HISTVOL,2026-08-21T22:00:00Z,,,,,,,,55.32660494680684
SOL-HISTVOL,2026-08-21T22:00:00Z,,,,,,,,46.05476930460215
BTC-HISTVOL,2026-08-21T23:00:00Z,,,,,,,,41.60676378036382
ETH-HISTVOL,2026-08-21T23:00:00Z,,,,,,,,57.20833216949817
SOL-HISTVOL,2026-08-21T23:00:00Z,,,,,,,,47.15345013669356
BTC-HISTVOL,2026-08-22T00:00:00Z,,,,,,,,41.60267189155287
ETH-HISTVOL,2026-08-22T00:00:00Z,,,,,,,,57.22859037284972
SOL-HISTVOL,2026-08-22T00:00:00Z,,,,,,,,47.222852384209794
BTC-HISTVOL,2026-08-22T01:00:00Z,,,,,,,,41.60794874264065
ETH-HISTVOL,2026-08-22T01:00:00Z,,,,,,,,57.23786633006971
SOL-HISTVOL,2026-08-22T01:00:00Z,,,,,,,,47.31249005053861
BTC-HISTVOL,2026-08-22T02:00:00Z,,,,,,,,41.68208956459079
ETH-HISTVOL,2026-08-22T02:00:00Z,,,,,,,,57.24930709806874
SOL-HISTVOL,2026-08-22T02:00:00Z,,,,,,,,47.318784441796936
BTC-HISTVOL,2026-08-22T03:00:00Z,,,,,,,,41.67883951618727
ETH-HISTVOL,2026-08-22T03:00:00Z,,,,,,,,57.3084731781312
SOL-HISTVOL,2026-08-22T03:00:00Z,,,,,,,,47.32319072255011
BTC-HISTVOL,2026-08-22T04:00:00Z,,,,,,,,41.86071251921059
ETH-HISTVOL,2026-08-22T04:00:00Z,,,,,,,,57.32251117329384
SOL-HISTVOL,2026-08-22T04:00:00Z,,,,,,,,48.35841655768907
BTC-HISTVOL,2026-08-22T05:00:00Z,,,,,,,,41.8541314521812
ETH-HISTVOL,2026-08-22T05:00:00Z,,,,,,,,57.306109595507856
SOL-HISTVOL,2026-08-22T05:00:00Z,,,,,,,,48.71061740334983
BTC-HISTVOL,2026-08-22T06:00:00Z,,,,,,,,41.85491518932341
ETH-HISTVOL,2026-08-22T06:00:00Z,,,,,,,,57.30610949860583
SOL-HISTVOL,2026-08-22T06:00:00Z,,,,,,,,50.11160294143311
BTC-HISTVOL,2026-08-22T07:00:00Z,,,,,,,,42.42428353529616
ETH-HISTVOL,2026-08-22T07:00:00Z,,,,,,,,59.2046523529597
SOL-HISTVOL,2026-08-22T07:00:00Z,,,,,,,,56.00820399934401
BTC-HISTVOL,2026-08-22T08:00:00Z,,,,,,,,42.42951936891897
ETH-HISTVOL,2026-08-22T08:00:00Z,,,,,,,,59.20061496901487
SOL-HISTVOL,2026-08-22T08:00:00Z,,,,,,,,56.00929653367843
BTC-HISTVOL,2026-08-22T09:00:00Z,,,,,,,,42.44779218151354
ETH-HISTVOL,2026-08-22T09:00:00Z,,,,,,,,59.2061613933564
