symbol,timestamp,funding_rate,funding_interval_hours
BTCUSDT,2020-01-31T16:00:00Z,0.00039858,8
ETHUSDT,2020-01-31T16:00:00Z,0.00093741,8
BTCUSDT,2020-02-01T00:00:00Z,0.00074991,8
ETHUSDT,2020-02-01T00:00:00Z,0.0007201,8
BTCUSDT,2020-02-01T08:00:00Z,0.00065667,8
ETHUSDT,2020-02-01T08:00:00Z,0.00070775,8
BTCUSDT,2020-02-01T16:00:00Z,0.00049052,8
ETHUSDT,2020-02-01T16:00:00Z,0.00052861,8
BTCUSDT,2020-02-02T00:00:00Z,0.00028263,8
ETHUSDT,2020-02-02T00:00:00Z,0.000352,8
BTCUSDT,2020-02-02T08:00:00Z,0.00034916,8
ETHUSDT,2020-02-02T08:00:00Z,0.00016128,8
BTCUSDT,2020-02-02T16:00:00Z,0.00065524,8
ETHUSDT,2020-02-02T16:00:00Z,0.0001,8
BTCUSDT,2020-02-03T00:00:00Z,0.00060677,8
ETHUSDT,2020-02-03T00:00:00Z,0.0001,8
BTCUSDT,2020-02-03T08:00:00Z,0.00035862,8
ETHUSDT,2020-02-03T08:00:00Z,0.0001,8
BTCUSDT,2020-02-03T16:00:00Z,0.0001,8
ETHUSDT,2020-02-03T16:00:00Z,0.0001,8
BTCUSDT,2020-02-04T00:00:00Z,0.00099282,8
ETHUSDT,2020-02-04T00:00:00Z,0.00036575,8
BTCUSDT,2020-02-04T08:00:00Z,0.0005445,8
ETHUSDT,2020-02-04T08:00:00Z,0.00014722,8
BTCUSDT,2020-02-04T16:00:00Z,0.00038192,8
ETHUSDT,2020-02-04T16:00:00Z,0.00039381,8
BTCUSDT,2020-02-05T00:00:00Z,0.0001,8
ETHUSDT,2020-02-05T00:00:00Z,0.0001,8
BTCUSDT,2020-02-05T08:00:00Z,0.0001,8
ETHUSDT,2020-02-05T08:00:00Z,0.0001,8
BTCUSDT,2020-02-05T16:00:00Z,0.00052631,8
ETHUSDT,2020-02-05T16:00:00Z,0.00095515,8
BTCUSDT,2020-02-06T00:00:00Z,0.00164021,8
ETHUSDT,2020-02-06T00:00:00Z,0.00112654,8
BTCUSDT,2020-02-06T08:00:00Z,0.00078299,8
ETHUSDT,2020-02-06T08:00:00Z,0.00077325,8
BTCUSDT,2020-02-06T16:00:00Z,0.00055668,8
ETHUSDT,2020-02-06T16:00:00Z,0.00053238,8
BTCUSDT,2020-02-07T00:00:00Z,0.00035618,8
ETHUSDT,2020-02-07T00:00:00Z,0.00032775,8
BTCUSDT,2020-02-07T08:00:00Z,0.00019726,8
ETHUSDT,2020-02-07T08:00:00Z,0.00014913,8
BTCUSDT,2020-02-07T16:00:00Z,0.00034616,8
ETHUSDT,2020-02-07T16:00:00Z,0.00045718,8
BTCUSDT,2020-02-08T00:00:00Z,0.00039915,8
ETHUSDT,2020-02-08T00:00:00Z,0.00026524,8
BTCUSDT,2020-02-08T08:00:00Z,0.00062858,8
ETHUSDT,2020-02-08T08:00:00Z,0.00027312,8
BTCUSDT,2020-02-08T16:00:00Z,0.00099315,8
ETHUSDT,2020-02-08T16:00:00Z,0.00029946,8
BTCUSDT,2020-02-09T00:00:00Z,0.00042798,8
ETHUSDT,2020-02-09T00:00:00Z,0.00097062,8
BTCUSDT,2020-02-09T08:00:00Z,0.00081519,8
ETHUSDT,2020-02-09T08:00:00Z,0.00063224,8
BTCUSDT,2020-02-09T16:00:00Z,0.00113954,8
ETHUSDT,2020-02-09T16:00:00Z,0.00136228,8
BTCUSDT,2020-02-10T00:00:00Z,0.00106733,8
ETHUSDT,2020-02-10T00:00:00Z,0.00130685,8
BTCUSDT,2020-02-10T08:00:00Z,0.00125022,8
ETHUSDT,2020-02-10T08:00:00Z,0.00193444,8
BTCUSDT,2020-02-10T16:00:00Z,0.00097918,8
ETHUSDT,2020-02-10T16:00:00Z,0.00295694,8
BTCUSDT,2020-02-11T00:00:00Z,0.00043989,8
ETHUSDT,2020-02-11T00:00:00Z,0.0011812,8
BTCUSDT,2020-02-11T08:00:00Z,0.00064797,8
ETHUSDT,2020-02-11T08:00:00Z,0.00150902,8
BTCUSDT,2020-02-11T16:00:00Z,0.0005012,8
ETHUSDT,2020-02-11T16:00:00Z,0.00107512,8
BTCUSDT,2020-02-12T00:00:00Z,0.003,8
ETHUSDT,2020-02-12T00:00:00Z,0.0028447,8
BTCUSDT,2020-02-12T08:00:00Z,0.00108055,8
ETHUSDT,2020-02-12T08:00:00Z,0.0036719,8
BTCUSDT,2020-02-12T16:00:00Z,0.00103884,8
ETHUSDT,2020-02-12T16:00:00Z,0.00148984,8
BTCUSDT,2020-02-13T00:00:00Z,0.00093553,8
ETHUSDT,2020-02-13T00:00:00Z,0.00119193,8
BTCUSDT,2020-02-13T08:00:00Z,0.00084403,8
ETHUSDT,2020-02-13T08:00:00Z,0.00141789,8
BTCUSDT,2020-02-13T16:00:00Z,0.00070414,8
ETHUSDT,2020-02-13T16:00:00Z,0.0017895,8
BTCUSDT,2020-02-14T00:00:00Z,0.0006332,8
ETHUSDT,2020-02-14T00:00:00Z,0.00133922,8
BTCUSDT,2020-02-14T08:00:00Z,0.00074453,8
ETHUSDT,2020-02-14T08:00:00Z,0.00081527,8
BTCUSDT,2020-02-14T16:00:00Z,0.00055952,8
ETHUSDT,2020-02-14T16:00:00Z,0.00097804,8
BTCUSDT,2020-02-15T00:00:00Z,0.00059113,8
ETHUSDT,2020-02-15T00:00:00Z,0.00084363,8
BTCUSDT,2020-02-15T08:00:00Z,0.0009686,8
ETHUSDT,2020-02-15T08:00:00Z,0.00099519,8
BTCUSDT,2020-02-15T16:00:00Z,0.00087369,8
ETHUSDT,2020-02-15T16:00:00Z,0.00116429,8
BTCUSDT,2020-02-16T00:00:00Z,0.00051202,8
ETHUSDT,2020-02-16T00:00:00Z,0.00191229,8
BTCUSDT,2020-02-16T08:00:00Z,0.00036973,8
ETHUSDT,2020-02-16T08:00:00Z,0.00042143,8
BTCUSDT,2020-02-16T16:00:00Z,0.00060847,8
ETHUSDT,2020-02-16T16:00:00Z,0.00063291,8
BTCUSDT,2020-02-17T00:00:00Z,0.00043179,8
ETHUSDT,2020-02-17T00:00:00Z,0.0006537,8
BTCUSDT,2020-02-17T08:00:00Z,0.0006096,8
ETHUSDT,2020-02-17T08:00:00Z,0.00052153,8
BTCUSDT,2020-02-17T16:00:00Z,0.00091076,8
ETHUSDT,2020-02-17T16:00:00Z,0.00088411,8
BTCUSDT,2020-02-18T00:00:00Z,0.00026967,8
ETHUSDT,2020-02-18T00:00:00Z,0.00024205,8
BTCUSDT,2020-02-18T08:00:00Z,0.00013952,8
ETHUSDT,2020-02-18T08:00:00Z,0.00012422,8
BTCUSDT,2020-02-18T16:00:00Z,0.00029662,8
ETHUSDT,2020-02-18T16:00:00Z,0.00023619,8
BTCUSDT,2020-02-19T00:00:00Z,0.00046396,8
ETHUSDT,2020-02-19T00:00:00Z,0.0007174,8
BTCUSDT,2020-02-19T08:00:00Z,0.00038487,8
ETHUSDT,2020-02-19T08:00:00Z,0.00095567,8
BTCUSDT,2020-02-19T16:00:00Z,0.00040757,8
ETHUSDT,2020-02-19T16:00:00Z,0.00068394,8
BTCUSDT,2020-02-20T00:00:00Z,0.0001,8
ETHUSDT,2020-02-20T00:00:00Z,0.0001949,8
BTCUSDT,2020-02-20T08:00:00Z,0.0001,8
ETHUSDT,2020-02-20T08:00:00Z,0.0001,8
BTCUSDT,2020-02-20T16:00:00Z,0.0001,8
ETHUSDT,2020-02-20T16:00:00Z,0.00053851,8
BTCUSDT,2020-02-21T00:00:00Z,0.0001,8
ETHUSDT,2020-02-21T00:00:00Z,0.00069899,8
BTCUSDT,2020-02-21T08:00:00Z,0.0001,8
ETHUSDT,2020-02-21T08:00:00Z,0.0005353,8
BTCUSDT,2020-02-21T16:00:00Z,0.0001,8
ETHUSDT,2020-02-21T16:00:00Z,0.0005742,8
BTCUSDT,2020-02-22T00:00:00Z,0.0001,8
ETHUSDT,2020-02-22T00:00:00Z,0.00051605,8
BTCUSDT,2020-02-22T08:00:00Z,0.0001,8
ETHUSDT,2020-02-22T08:00:00Z,0.00056424,8
BTCUSDT,2020-02-22T16:00:00Z,0.00012243,8
ETHUSDT,2020-02-22T16:00:00Z,0.00045883,8
BTCUSDT,2020-02-23T00:00:00Z,0.00029663,8
ETHUSDT,2020-02-23T00:00:00Z,0.00077311,8
