symbol,timestamp,observed_utc,openInterest,markPrice,indexPrice,fundingRate,fundingRatePrediction,bid,ask,bidSize,askSize,vol24h
PF_CVXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,77924.0,2.33897786509,2.33089,3.5171059331834e-05,0.0002172015141524,2.3233,2.3483,9.0,121.0,38047.0
PF_CYBERUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,13016.0,0.30949812805,0.30981,-3.2652869758e-05,-4.4505000388125e-05,0.3088,0.3102,1878.0,1800.0,1846.0
PF_DASHUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,9588.6,45.09438185155,45.0904,-0.004945613387755,-0.0008251874549887,45.06,45.13,1.0,36.2,50387.7
PF_DEEPUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,354327.0,0.01413606486,0.0141172,1.89244854708e-06,2.051865122274e-06,0.014068,0.014123,40746.0,3900.0,168334.0
PF_DEGENUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2194130.0,0.00100965392,0.00100884,1.08840015992e-07,1.10598477805e-07,0.0010068,0.0010127,1406000.0,1500000.0,3928871.0
PF_DEXEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,46475.7,2.02093524079,2.0229,-0.0001813285543312,-0.0002747952316829,2.024,2.025,22.0,122.0,86181.5
PF_DOGEUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,54101760.0,0.08276596041,0.082758,9.74002759975e-07,8.83119238625e-07,0.08277,0.08278,9217.0,10562.0,91266889.0
PF_DOGSUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1023006026.0,4.190409e-05,4.2002e-05,-1.2401877877e-08,-1.2094878658e-08,4.176e-05,4.203e-05,82194976.0,78465300.0,5507239029.0
PF_DOTUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,3962826.2,0.84858617508,0.84863,-5.586395654e-06,-1.5327992158125e-05,0.8482,0.8488,765.9,57.4,636118.0
PF_DYDXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2434033.0,0.10800246008,0.107969,5.071671074925e-06,6.749718133125e-06,0.10789,0.10804,1390.0,1388.0,682401.0
PF_DYMUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,637349.3,0.01522009935,0.01525,-3.88872032e-06,-3.743063382292e-06,0.0152,0.01529,5785.0,111159.9,144592.2
PF_EGLDUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,109923.27,3.88982396669,3.887,0.000117410417965,0.0002476942817449,3.879,3.898,11.94,12.21,23431.32
PF_EIGENUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,600087.0,0.19800514077,0.19805,-3.561035195792e-06,-5.0382948435e-06,0.1978,0.1981,7292.0,757.0,528831.0
PF_ENAUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,9692464.0,0.14936118401,0.149275,8.748577796e-06,8.984016030038e-06,0.14924,0.14937,813.0,813.0,8238314.0
PF_ENJUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,724256.0,0.02469484659,0.02473,-2.999153008333e-06,-3.726924396e-06,0.02468,0.02477,1961.0,1932.0,29732.0
PF_ENSUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,7100.5,5.82774688826,5.8255,2.2604338954169e-05,0.0001829044264987,5.825,5.831,8.0,8.0,10856.6
PF_ETCUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,196702.0,7.27714667256,7.2744,0.0002271942647433,0.0002957585411625,7.27,7.28,6.5,6.5,14382.4
PF_ETHFIUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,521919.8,0.56727375148,0.56709,3.8946767667125e-05,2.118791959825e-05,0.5667,0.5688,88.4,87.4,258068.9
PF_ETHUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,27317.876,2460.03783838612,2459.71,0.0297875909630424,0.0404236223017924,2460.0,2460.1,1.571,1.068,59836.61
PF_EURUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2798.0,1.16056526494,1.1607,-5.415821005834e-06,-1.2701577541936e-05,1.15759,1.1606,25000.0,1883.0,4070.0
PF_FARTCOINUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,5351326.0,0.17564123212,0.17568,-8.31531353333e-07,-7.611573095333e-06,0.1756,0.1758,2555.0,393.0,3923174.0
PF_FETUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,6464972.0,0.15412024365,0.15413,-1.4272958095833e-05,-4.408895395e-06,0.15399,0.15421,307.0,315.0,3521666.0
PF_FILUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,1021555.9,0.68368250843,0.68374,2.45089506825e-06,-1.208072838125e-06,0.6835,0.6838,70.4,69.7,487392.1
PF_FLOKIUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,2325504000.0,2.423971e-05,2.4256e-05,-1.306808297e-09,-1.724993196e-09,2.417e-05,2.431e-05,189020000.0,180000000.0,431793000.0
PF_FLOWUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,829080.0,0.0266116873,0.026597,2.762511298979e-06,2.065800469471e-06,0.02659,0.02665,17438.0,105779.0,1827216.0
PF_FLUXUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,150518.0,0.05026435564,0.050381,-1.4260468703958e-05,-1.4836307508279e-05,0.0501,0.05043,27464.0,25600.0,114211.0
PF_GALAUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,298405802.0,0.00170959195,0.0017093,6.7788581323e-08,1.20280399663e-07,0.00171,0.001711,27504.0,456972.0,83850266.0
PF_GBPUSD,2026-09-01T00:00:00Z,2026-09-01T02:41:53Z,0.0,1.35459649568,1.3546,1.576969288125e-05,7.187704604583e-06,1.35384,1.35477,1846.0,1845.0,0.0
