id,rule,base,context,ticker,n_events,n,win_pct,stop_pct,net_all,net_counted,ex_best,folds_pos,folds_counted,total_R,maxDD_R,worst_streak
85,rsi14_exit25+lowvol,rsi14_exit25,lowvol,ETH,2,2,0.0,100.0,-1.049,,,0,0,-2.098,1.045,2
86,rsi14_exit30+none,rsi14_exit30,none,ETH,11,12,33.33333333333333,66.66666666666666,-0.025333333333333263,,,0,0,-0.30399999999999916,6.174999999999999,5
87,rsi14_exit30+above_sma200,rsi14_exit30,above_sma200,ETH,0,0,,,,,,0,0,,,0
88,rsi14_exit30+btc_above_sma200,rsi14_exit30,btc_above_sma200,ETH,0,0,,,,,,0,0,,,0
89,rsi14_exit30+lowvol,rsi14_exit30,lowvol,ETH,5,6,33.33333333333333,66.66666666666666,-0.031166666666666638,,,0,0,-0.18699999999999983,4.1,4
90,rsi14_exit35+none,rsi14_exit35,none,ETH,18,18,33.33333333333333,66.66666666666666,-0.022499999999999926,,,0,0,-0.4049999999999978,7.179999999999998,7
91,rsi14_exit35+above_sma200,rsi14_exit35,above_sma200,ETH,6,6,50.0,50.0,0.48000000000000015,,,0,0,2.880000000000001,1.016,2
92,rsi14_exit35+btc_above_sma200,rsi14_exit35,btc_above_sma200,ETH,3,3,66.66666666666666,33.33333333333333,0.9576666666666668,,,0,0,2.873,1.057,1
93,rsi14_exit35+lowvol,rsi14_exit35,lowvol,ETH,5,5,40.0,60.0,0.16660000000000003,,,0,0,0.8330000000000002,1.057,2
94,rsi7_cross50+none,rsi7_cross50,none,ETH,84,93,33.33333333333333,66.66666666666666,-0.028021505376344062,-0.028021505376344027,-0.18040298507462682,2,4,-2.605999999999995,18.218999999999998,8
95,rsi7_cross50+above_sma200,rsi7_cross50,above_sma200,ETH,42,47,19.148936170212767,80.85106382978722,-0.45534042553191484,,,0,2,-21.401,22.376,12
96,rsi7_cross50+btc_above_sma200,rsi7_cross50,btc_above_sma200,ETH,36,40,22.5,77.5,-0.35862499999999997,,,0,2,-14.344999999999999,15.319999999999999,12
97,rsi7_cross50+lowvol,rsi7_cross50,lowvol,ETH,42,47,31.914893617021278,68.08510638297872,-0.07659574468085105,,,0,2,-3.5999999999999983,10.431,7
98,rsi14_cross50+none,rsi14_cross50,none,ETH,50,62,43.54838709677419,56.451612903225815,0.2776612903225807,0.17041818181818183,0.01688372093023258,2,3,17.214999999999996,8.497,7
99,rsi14_cross50+above_sma200,rsi14_cross50,above_sma200,ETH,31,39,30.76923076923077,69.23076923076923,-0.10599999999999998,,,0,2,-4.1339999999999995,14.841000000000001,13
100,rsi14_cross50+btc_above_sma200,rsi14_cross50,btc_above_sma200,ETH,26,33,27.27272727272727,72.72727272727273,-0.21299999999999997,,,0,2,-7.0289999999999955,14.840999999999996,13
101,rsi14_cross50+lowvol,rsi14_cross50,lowvol,ETH,30,38,47.368421052631575,52.63157894736842,0.38981578947368417,,,2,2,14.813000000000006,6.284999999999998,6
102,roc10_zero+none,roc10_zero,none,ETH,70,73,31.506849315068493,68.4931506849315,-0.08556164383561642,-0.0855616438356164,-0.16827118644067793,1,4,-6.245999999999998,13.756999999999998,9
103,roc10_zero+above_sma200,roc10_zero,above_sma200,ETH,30,31,32.25806451612903,67.74193548387096,-0.06629032258064513,,,1,2,-2.054999999999999,7.183,7
104,roc10_zero+btc_above_sma200,roc10_zero,btc_above_sma200,ETH,23,24,29.166666666666668,70.83333333333334,-0.16520833333333332,,,0,1,-3.9649999999999994,6.5009999999999994,6
105,roc10_zero+lowvol,roc10_zero,lowvol,ETH,35,37,32.432432432432435,67.56756756756756,-0.06424324324324321,,,0,2,-2.3770000000000007,7.328,6
106,roc20_zero+none,roc20_zero,none,ETH,55,60,31.666666666666664,68.33333333333333,-0.08029999999999994,-0.08029999999999995,-0.19269999999999995,2,4,-4.818000000000002,14.288999999999998,9
107,roc20_zero+above_sma200,roc20_zero,above_sma200,ETH,29,34,26.47058823529412,73.52941176470588,-0.23941176470588238,,,1,2,-8.14,11.879000000000001,10
108,roc20_zero+btc_above_sma200,roc20_zero,btc_above_sma200,ETH,23,27,25.925925925925924,74.07407407407408,-0.2595555555555555,,,0,1,-7.008,10.847000000000001,9
109,roc20_zero+lowvol,roc20_zero,lowvol,ETH,33,36,25.0,75.0,-0.28650000000000003,,,0,1,-10.314000000000002,11.078000000000003,8
110,roc60_zero+none,roc60_zero,none,ETH,25,29,41.37931034482759,58.620689655172406,0.19999999999999996,,,2,2,5.800000000000001,5.228,5
111,roc60_zero+above_sma200,roc60_zero,above_sma200,ETH,14,18,33.33333333333333,66.66666666666666,-0.04800000000000001,,,1,1,-0.8639999999999988,8.258999999999999,8
