n_events,seed,BTC_net,BTC_ex,BTC_n,ETH_net,ETH_ex,ETH_n,SOL_net,SOL_ex,SOL_n
80,81,-0.11693023255813953,-0.24128985507246367,86,-0.08515116279069762,-0.20336231884057965,86,0.005209302325581408,-0.06053623188405794,86
80,82,-0.08217647058823527,-0.16007692307692303,85,-0.17895294117647054,-0.2424153846153846,85,-0.27172941176470583,-0.3244153846153846,85
80,83,-0.012833333333333316,-0.15846666666666664,84,0.08896428571428577,0.014953125000000053,84,0.10146428571428572,0.03167187500000003,84
80,84,-0.1449259259259259,-0.15939999999999996,81,0.04619753086419751,-0.06081538461538458,81,-0.0828641975308642,-0.14106153846153843,81
80,85,-0.2151785714285714,-0.24579411764705886,84,-0.10148809523809522,-0.1064411764705882,84,-0.08740476190476187,-0.3708749999999999,84
80,86,-0.15613414634146344,-0.2633787878787879,82,-0.12893902439024385,-0.2309848484848485,82,0.15268292682926832,0.00019354838709681018,82
80,87,-0.21004597701149427,-0.43927999999999995,87,-0.27166666666666656,-0.43153333333333327,87,0.014643678160919566,-0.09738666666666665,87
80,88,-0.2736785714285714,-0.31743333333333335,84,-0.09871428571428568,-0.17741666666666664,84,0.1594404761904762,0.0541940298507463,84
80,89,0.08262790697674423,0.0054655172413793284,86,0.29753488372093023,0.16006349206349205,86,0.049569767441860486,-0.03819047619047616,86
80,90,-0.1814883720930232,-0.31266666666666665,86,-0.14273255813953484,-0.21154999999999996,86,0.09190697674418606,0.003328125000000043,86
80,91,-0.2846547619047618,-0.41110294117647056,84,-0.09917857142857142,-0.23505882352941176,84,-0.17178571428571424,-0.3244411764705882,84
80,92,-0.02377108433734936,-0.12446031746031742,83,-0.1603734939759036,-0.25947619047619047,83,0.01321686746987956,-0.09666153846153845,83
80,93,0.05110843373493976,0.006098360655737717,83,0.20230120481927716,0.012852459016393484,83,-0.0331204819277108,-0.14651612903225802,83
80,94,0.14313953488372094,0.02959375000000003,86,0.09043023255813956,0.04982812500000003,86,-0.005348837209302289,-0.21831666666666666,86
80,95,-0.04496511627906976,-0.19187931034482758,86,-0.04058139534883718,-0.09639655172413786,86,-0.0026511627906976483,-0.07704687500000001,86
80,96,0.09213636363636368,-0.06586153846153839,88,0.1324431818181818,0.032753846153846175,88,0.27273863636363643,0.1382835820895523,88
80,97,-0.19705813953488366,-0.3595245901639344,86,0.16696511627906974,0.000655737704918077,86,0.2836279069767443,0.20908196721311484,86
80,98,0.19020000000000004,0.06760317460317464,80,0.14512500000000003,-0.010285714285714252,80,-0.05798749999999997,-0.15321311475409835,80
